customer,sale_date,days_in_inventory,count,price
Crystallized Scatology,1988-05-08,40,2,14.51
Oldish Term,1988-05-21,42,8,21.44
Interspecies Flat Coat,1988-05-07,34,17,12.48
Inconvenient Import Credit,1988-05-04,1,12,5.17
Nurturant Dearth,1988-05-29,36,38,15.99
Set Soil Conservation,1988-05-18,20,17,9.32
Self-Generated Cricetidae,1988-05-15,7,3,17.16
Nee Frontal Eminence,1988-05-24,9,7,16.86
Neuropsychological Carboxylic Acid,1988-05-25,17,39,8.27
Detached Large Integer,1988-05-06,8,28,5.45
Light Reserve Account,1988-05-03,7,23,31.17
Chambered Infundibulum,1988-05-13,36,21,13.54
Archdiocesan Contact,1988-05-13,10,28,6.08
Opposable Own Goal,1988-05-15,18,39,21.33
Ox-Eyed Latinist,1988-05-22,19,33,14.24
Hollow-Horned Prophecy,1988-05-21,39,8,20.55
Due Profundity,1988-05-30,14,25,28.76
Resurgent Whiting,1988-05-03,22,37,17.45
Straggly Draw,1988-05-13,14,13,20.52
Exploded Aquarius,1988-05-11,41,17,0.72
Consecrated Maalox,1988-05-26,17,3,0.41
Excess Wholesale,1988-05-08,33,28,26.38
Censorial Lobed Leaf,1988-05-06,32,1,6.42
Destroyable Cape Trafalgar,1988-05-14,17,34,4.69
Clothesless Redeposition,1988-05-13,4,35,4.92
Down Ligand,1988-05-09,6,13,5.5
Discalced Paratyphoid,1988-05-08,41,24,9.09
Woody Pauropoda,1988-05-28,28,28,21.41
Blown Histamine,1988-05-14,18,5,1.8
Past Shorebird,1988-05-26,3,22,2.95
Chinked Scandentia,1988-05-17,1,40,2.8
Unaccompanied Syncategorem,1988-05-02,22,21,1.04
Basidiosporous Sao Louis,1988-05-30,9,8,13.37
Dated Adzhar,1988-05-26,41,20,11.02
Based Brightness,1988-05-30,17,33,1.09
Normotensive Cuculiform Bird,1988-05-28,11,20,24.79
Fossilized Gall,1988-05-26,29,27,21.99
Loverlike Pantheon,1988-05-05,36,21,7.81
Composite Crater,1988-05-15,28,26,11.59
Obligated Bahrain Dinar,1988-05-07,36,19,5.77
Blameless Lobster,1988-05-13,1,36,2.7
Amidship Sarcosome,1988-05-02,8,9,11.65
Anemophilous Nonpareil,1988-05-12,5,13,2.26
Isosceles Timecard,1988-05-30,10,27,1.97
Wine-Red Cacophony,1988-05-08,35,25,27.1
Becoming Molecular Weight,1988-05-24,3,12,7.41
Mandibular Mohawk,1988-05-14,24,40,2.59
Catoptric General-Purpose Bomb,1988-05-13,38,37,29.18
Delusional Flecainide,1988-05-29,36,20,1.06
Uncheckable Twenty-Two,1988-05-30,10,26,12.96
Liberian Masorah,1988-05-17,28,36,17.25
Cordial Graze,1988-05-22,9,1,5.51
Immunized Palatinate,1988-05-05,3,20,13.04
Lacerate Fife Rail,1988-05-09,20,19,4.57
Pantheist Pyrenees Daisy,1988-05-30,24,14,13.15
Flustered Casework,1988-05-18,3,28,2.32
Credulous Laurel,1988-05-17,23,38,7.44
Foul Knight-Errant,1988-05-23,14,39,22.03
Grey-Green Pinetum,1988-05-02,16,42,7.53
Sold-Out Substance,1988-05-18,7,21,0.27
Fictional Ergot,1988-05-16,23,30,25.95
Cantabile System Of Weights And Measures,1988-05-26,36,29,2.84
Wonder-Struck Bathroom,1988-05-05,27,29,14.88
Greenside Line Item,1988-05-29,40,14,24.47
Antlered Army Base,1988-05-03,10,33,2.94
Imperfect Repeater,1988-05-06,16,31,3.53
Fingered Eglevsky,1988-05-18,11,11,25.81
Surgical Word Order,1988-05-21,12,6,10.7
Filial Single Crochet,1988-05-08,27,19,33.07
Anglo-Indian Toxotidae,1988-05-04,2,33,8.59
Godless Boojum Tree,1988-05-27,12,41,8.38
Big Laundry Truck,1988-05-08,22,40,7.29
Ternary Oilskin,1988-05-18,27,22,0.06
Malay Agaric,1988-05-19,16,6,10.75
Potted Arsenopyrite,1988-05-13,18,16,16.93
Phantom Common Purslane,1988-05-18,11,20,15.81
Nameless Aspergill,1988-05-16,7,15,13.78
Light Bash,1988-05-29,25,13,31.59
Short Prionace,1988-05-07,3,10,15.56
Long Arch,1988-05-22,31,2,1.69
Barelegged Diphylla,1988-05-08,15,3,24.7
Temperamental Lycosidae,1988-05-12,13,16,8.75
Benedictine Clock Radio,1988-05-21,30,31,11.26
Nonstop Hailstorm,1988-05-09,23,40,16.36
Shona Pharmacopoeia,1988-05-10,20,5,30.58
Nymphomaniacal Umbellifer,1988-05-23,15,30,18.08
Fallacious Awkwardness,1988-05-03,15,27,31.38
Madagascan Reversibility,1988-05-14,2,41,14.25
One-On-One South American,1988-05-30,13,37,10.16
Azygous Gunman,1988-05-30,26,13,24.98
Genoese Christopher,1988-05-03,22,25,5.52
Suppliant Prototype,1988-05-07,18,32,9.42
Intrusive Wood-Frog,1988-05-08,5,26,8.41
Ribless Commotion,1988-05-28,18,16,13.73
Thoriated Coronoid Process Of The Mandible,1988-05-27,23,10,5.29
Doctrinaire Abnegation,1988-05-27,42,42,12.79
Transalpine Genus Anomalopteryx,1988-05-12,33,1,6.33
Unbeknown Ichthyosaurus,1988-05-05,26,7,24.51
Sensible Stirrup Cup,1988-05-26,35,28,2.99
Chromatic East India Kino,1988-05-22,22,15,2.13
