id,customer,sale_date,days_in_inventory,count,price,y2k
271077752281,Unbroken Drill Steel,2000-01-10,5,42,8.35,1
420905367754,Millenary Indonesian,2000-01-08,21,13,8.67,1
875279701940,Colossal Body Waste,2000-01-29,37,21,13.97,0
556440884355,Insensitive Use,2000-01-21,28,39,5.31,0
631866089440,Surly Late-Night Hour,2000-01-15,37,31,12.47,0
619606194160,Meaty Esophagoscope,2000-01-03,26,33,3.37,1
599263022595,Semiconscious Taxonomy,2000-01-03,41,10,1.14,1
261281455424,Unforeseeable Stinter,2000-01-13,27,4,18.78,1
307805919610,Forward Avitaminosis,2000-01-23,19,29,8.79,1
761089389845,Radiate Delayed Action,2000-01-12,8,7,9.42,0
922521631542,Countrywide Skull Session,2000-01-04,26,22,0.61,0
249805565581,Dressed Flower Girl,2000-01-02,2,6,10.69,1
176725411465,Odoriferous Unfitness,2000-01-29,21,33,20.86,0
947295030873,Inseparable Hereditament,2000-01-17,11,42,17.09,0
475444318886,Insincere Genus Chlorophyllum,2000-01-21,40,12,3.16,0
967300992787,Transoceanic Game Show,2000-01-13,30,3,8.17,0
394238492851,Meticulous Theocracy,2000-01-27,24,16,0.83,1
103524233168,Ruritanian Diplomacy,2000-01-29,6,29,21.91,1
895783733945,Solvent Bedclothes,2000-01-13,28,29,24.98,1
738176038125,Fishy Acropora,2000-01-28,7,34,3.75,0
825844758573,Streamlined Basal Vein,2000-01-02,16,34,0.52,0
590264484194,Based Vietnamese Monetary Unit,2000-01-09,28,40,9.21,1
630594163379,Honest Genus Cicada,2000-01-10,38,11,19.89,1
466554516218,No-Win Repositing,2000-01-04,26,24,2.72,0
939889089976,Obligatory Ceratopteris,2000-01-16,34,24,4.0,1
514650874781,Aligned Frazer,2000-01-05,6,19,0.56,1
364988738014,Seventy-Three Picture Writing,2000-01-15,26,25,20.64,1
523362647197,Seeded Hot Springs,2000-01-26,20,27,3.64,1
554302504239,Bound Musculus Sphincter Ani Internus,2000-01-11,22,22,16.07,1
448079814698,Humified Chemical Analysis,2000-01-17,15,39,7.17,1
622889527089,Renewable Repellent,2000-01-04,22,4,28.35,0
520096802415,Conglomerate Strigiformes,2000-01-09,11,41,1.71,1
970433915604,Denominational Godspeed,2000-01-07,5,42,1.68,1
816489655032,Syrupy Blasting Gelatin,2000-01-13,33,22,26.42,0
267421339099,Down Imprisonment,2000-01-17,41,5,4.08,1
237597951504,Unlovely Combining,2000-01-24,8,22,0.55,1
463312058510,Bridal Billet,2000-01-19,34,7,35.61,0
211109516823,Sentient Acetabulum,2000-01-21,33,36,2.82,1
209265283176,Homeric Electric,2000-01-17,13,25,9.54,1
114847393047,Full Edward,2000-01-19,23,19,13.7,0
257721695267,Nineteenth Spoil,2000-01-20,23,17,20.11,0
182267355023,One Obstipation,2000-01-21,42,39,13.38,1
961009905968,Inculpatory Feminist,2000-01-01,10,10,10.37,0
391925506721,Constant Rapeseed,2000-01-09,16,22,25.86,1
784353909489,Coagulate Manifestation,2000-01-23,7,6,6.05,0
536766840508,High-Backed Darfur,2000-01-28,10,38,14.99,0
188690373106,Abreast Tinsmith,2000-01-11,17,10,33.51,0
464435556959,Amharic Houyhnhnms,2000-01-06,13,23,8.48,0
842395153057,Large Burmeisteria,2000-01-05,12,20,16.3,0
687806398846,Thirty-Two Mutual Fund,2000-01-20,39,42,16.61,0
788554816658,Button-Shaped Robin,2000-01-03,10,26,3.65,1
635837550654,Accessory Master Of Arts In Library Science,2000-01-23,42,9,38.38,1
696452343376,Crusty Carriage Bolt,2000-01-30,5,39,12.11,1
778759018230,Biogeographic Alsophila Pometaria,2000-01-03,12,6,4.34,0
357991902637,Specifiable Horseradish Peroxidase,2000-01-16,41,20,10.34,1
854330092722,Frontal Soissons,2000-01-12,32,36,1.25,0
417487972975,Impious Apology,2000-01-14,30,25,33.45,1
353392014891,Dedifferentiated Mechanical Advantage,2000-01-05,37,42,23.64,1
201991584928,Black Sea Snake,2000-01-10,38,22,26.58,0
933646465420,Standing Ozena,2000-01-10,29,9,2.23,0
875816039471,Gay Serratus,2000-01-29,37,34,15.0,0
211121881692,Alliterative Hook,2000-01-18,42,6,16.83,1
282294211298,Handy Evidence,2000-01-27,41,42,2.04,1
429398226794,Discharged Crystal Detector,2000-01-05,40,28,4.92,1
133944947897,Mongoloid Derived Function,2000-01-23,21,33,28.6,1
456679815270,Starchy Alto Relievo,2000-01-02,41,24,13.19,0
163548952306,Emphatic Detector,2000-01-03,21,2,3.4,1
492102028955,Heuristic Tiptop,2000-01-14,10,24,12.02,1
574056332778,Enzootic Corner,2000-01-13,29,20,23.84,1
366913189856,Fanciful Child Neglect,2000-01-19,5,12,1.68,1
553252908058,Ceremonious Jonah,2000-01-13,31,14,1.13,1
849754952027,Thorough Collar,2000-01-07,29,22,12.84,0
300972340838,Anticlimactic Red Shrubby Penstemon,2000-01-16,41,32,19.34,0
289708635239,Cursed With Alpine Salamander,2000-01-11,20,13,5.5,1
770354064649,Ministerial Anne,2000-01-04,18,15,3.16,1
520352055311,Blinded Sweet Pea,2000-01-21,38,9,1.42,0
849985945258,Civil Cordoba,2000-01-18,4,10,21.81,1
646495202679,Macrencephalic Sausage Curl,2000-01-16,23,5,26.52,1
743870697885,Knotted Laurel Sumac,2000-01-10,33,19,1.54,0
354017756402,Studied Hopkins,2000-01-07,5,7,10.22,1
802060293051,Sleepy Dendroica,2000-01-30,20,33,20.88,1
603601998005,Phonological Amnesic,2000-01-02,30,35,10.76,1
831241060170,Unseeyn Chilomycterus,2000-01-07,29,34,9.44,1
614556980960,Piscine Toolmaker,2000-01-29,3,3,3.98,1
417403277612,Cruddy Great Skua,2000-01-24,4,22,15.46,1
699910770735,Stochastic Soft Glass,2000-01-23,24,40,8.23,0
177987911475,Evangelical Eumeces,2000-01-09,19,9,23.23,1
428941115748,Hard-Fought Offset Lithography,2000-01-04,5,39,2.87,1
857736637113,Viceregal Condiment,2000-01-15,42,25,1.28,1
599290370034,Small-Seeded Allyl,2000-01-13,6,10,13.94,0
434343034522,Piagetian Pillow Talk,2000-01-04,40,11,25.04,1
218039479813,Benedictory Silverberry,2000-01-16,39,12,31.44,0
517630618448,Well Mighty Mouse,2000-01-07,33,40,23.8,1
493298413208,Overhand Overactivity,2000-01-17,25,11,15.64,0
424591345661,Prone Pawer,2000-01-21,30,29,1.73,1
873062725840,Authorial Pronucleus,2000-01-11,38,3,15.92,1
122742842928,Tender Communion,2000-01-12,36,27,0.58,1
536618772435,Basinal Paraguayan,2000-01-23,3,24,7.32,1
109768818868,Clear Stictomys,2000-01-14,29,16,4.67,0
957643978300,Arable Mourner,2000-01-14,37,29,11.54,0
