id,customer,sale_date,days_in_inventory,count,price
72927306913,Arid Coccothraustes,2023-05-20,2,103,574.2
731974559421,Accretive Joss House,2023-05-08,31,98,284.97
5976276307,Alloyed Beanie,2023-05-30,15,51,503.3
106502181899,Ivied Air Force Intelligence Surveillance And Reconnaissance,2023-05-16,30,57,484.73
135636285222,Bedfast Cubic Millimeter,2023-05-22,14,6,408.85
661568452238,Demographic Chrysolite,2023-05-18,4,154,147.55
330757148615,Uncooperative Tarantella,2023-05-30,18,43,102.63
569292498305,Syllabic Prionotus,2023-05-03,6,63,424.93
435642031820,Acid-Tasting Alpha Decay,2023-05-29,23,92,442.25
24598481407,Loaded Kolami,2023-05-20,1,103,677.35
488543137556,Hourglass-Shaped Undertaking,2023-05-30,25,91,394.13
819732651912,Rustproof Panel Heating,2023-05-24,14,68,557.84
451634173033,Sacred Testudo,2023-05-11,12,1,512.04
332042053638,Firm Simulative Electronic Deception,2023-05-05,17,63,727.61
832897229444,Gnostic Knocker,2023-05-08,2,8,583.95
852324652028,Indolent Boswellia,2023-05-04,21,113,187.11
613187399979,Unreliable Bolshevik,2023-05-27,7,153,106.17
630873106519,Yellow Trachipterus,2023-05-23,3,152,340.78
758611367732,Aggressive Theory Of Inheritance,2023-05-15,10,31,648.8
730993665178,Maneuverable Chambermaid,2023-05-21,27,91,525.31
564655278172,Audacious Support Payment,2023-05-15,24,71,285.14
675845003679,Unsparing Lysine,2023-05-22,34,16,590.66
693049196801,Mural Whiting,2023-05-10,15,47,100.53
308977664080,Average Strategic Intelligence,2023-05-22,35,119,549.89
528673490145,Wedge-Shaped Valhalla,2023-05-29,29,54,400.17
476705906134,Grooved Marrano,2023-05-24,41,42,463.35
63543966865,Boorish Insert,2023-05-08,38,7,291.63
896732973027,Pyrotechnic Conflict,2023-05-29,28,31,393.29
737086753903,Dull Hijack,2023-05-03,14,38,560.92
657229777697,Frenzied Water Travel,2023-05-21,13,92,457.93
542015642042,First-Come-First-Serve Genus Banksia,2023-05-22,19,56,131.31
319609376836,Grass-Covered Esthetician,2023-05-18,26,24,567.67
780701303035,Varied Hancock,2023-05-28,30,143,505.35
728671077747,Still Company,2023-05-23,18,84,522.74
701650640571,Confounding Prattler,2023-05-25,42,2,399.25
618258868672,Preachy Wood Tar,2023-05-25,28,6,186.76
13346463191,Stereoscopic Territorial,2023-05-22,18,75,264.01
383478677932,Many-Lobed Spergularia,2023-05-18,26,33,664.0
540097508008,Retiring Furosemide,2023-05-08,28,52,131.11
274081761481,Fresh Pagurus,2023-05-03,3,21,438.38
299427062612,Plus Gingham,2023-05-08,16,137,498.88
478538771504,Dead Primo,2023-05-18,14,36,216.22
635489328385,Football-Shaped Fechner,2023-05-06,9,10,237.71
330005594102,Albigensian Pituitary Dwarf,2023-05-04,32,99,91.95
869704166364,Corrupt Marble Cake,2023-05-23,13,133,173.69
756830924652,Gracious Fruiting Body,2023-05-13,37,33,202.71
593709789992,Collateral Eysenck,2023-05-28,40,15,111.72
843705536966,Tensionless Krishna,2023-05-12,31,78,229.55
968726118076,Nonverbal Fish Glue,2023-05-18,17,136,698.41
816288524939,Comparable Wicket,2023-05-06,8,32,303.39
866599915777,Bullet-Headed Polo Pony,2023-05-12,22,9,447.32
359538424200,Contorted Yue,2023-05-13,39,146,186.82
550317557920,Poetic Firkin,2023-05-15,10,61,397.09
631117131993,Aerophilatelic Admiral,2023-05-15,4,15,396.9
721683430857,Nonpartisan Swanson,2023-05-18,37,89,167.52
