id,customer,sale_date,days_in_inventory,count,price
780794876513,Almighty Aulacorhyncus,2023-08-22,3,7,288.54
391594359193,Early Capitalization,2023-08-27,11,27,522.64
75721484635,Bruneian Birch Beer,2023-08-15,9,86,357.52
94934187115,Benedictory Shoe Polish,2023-08-03,33,9,364.51
996288524100,Scabby Lamppost,2023-08-05,2,2,186.42
719763280539,Chic Plague,2023-08-24,6,39,172.24
214928207501,Radiosensitive Ancylostomatidae,2023-08-21,30,91,183.28
389792846739,Unbranched Footfault,2023-08-25,32,83,230.63
328999592976,Rotatory Enthusiasm,2023-08-22,6,76,133.74
824031747502,Microsomal Musician,2023-08-12,2,57,234.71
631422142148,Inland Art,2023-08-14,27,77,156.74
181650617297,Dissolvable Fancier,2023-08-30,9,12,123.7
634202837278,Brassbound Formicariidae,2023-08-09,37,33,297.65
69933708716,Half-Time Gwyn,2023-08-01,19,1,344.81
201114913945,Hands-Off Connivance,2023-08-08,24,61,100.92
619821921073,Allied Hydrocephalus,2023-08-20,2,62,435.84
684826110132,Astigmatic Rock Bass,2023-08-09,9,10,386.85
814432652461,Antisatellite Devanagari,2023-08-19,25,81,280.0
647768936423,Nonretractile Spot,2023-08-20,37,88,256.57
799020145210,Scriptural While,2023-08-21,19,81,240.46
252042702658,Antacid Descent,2023-08-13,18,24,90.11
849374261122,Bibulous Course,2023-08-17,30,66,94.36
271182282587,Involved American Widgeon,2023-08-07,15,4,324.11
595101414409,Armed Futurist,2023-08-07,24,53,157.59
492674555350,Starved 9/11,2023-08-05,14,11,408.08
462479521402,Bipolar Hard Currency,2023-08-29,18,85,166.59
515341443929,Recessionary Lycian,2023-08-23,7,74,111.27
937974524081,Unpurified Tyson,2023-08-28,42,77,166.08
40502526168,Separate Hood,2023-08-14,19,5,186.09
695757934628,Faraway Petter,2023-08-20,16,62,238.48
912196360740,Seaworthy Crucian Carp,2023-08-11,40,34,295.71
924128106856,Clear Cynosure,2023-08-27,5,51,280.53
578652079536,Perfect Succulence,2023-08-08,2,51,232.48
984922778674,Intimal Operation,2023-08-30,14,91,118.24
923398112043,Preoperative Interpol,2023-08-01,12,53,168.47
979557730759,Queenly Paleogeography,2023-08-10,16,78,205.13
855566229035,Unagitated Leuwenhoek,2023-08-07,8,64,128.51
914609035863,Off The Beaten Track Whip-Snake,2023-08-04,34,86,170.79
18510302501,Assassinated Napoleon Iii,2023-08-12,28,35,122.68
234710036971,Convertible French Chalk,2023-08-25,28,61,274.16
672438111451,Ukrainian Arlington,2023-08-26,30,20,225.12
603315807966,Bristlelike Privateer,2023-08-23,37,12,196.64
585051385924,Abominable Cardiac Massage,2023-08-28,41,59,92.53
315513274500,Aforesaid Burglary,2023-08-17,4,16,413.87
735685892449,Peccable Queen,2023-08-09,28,22,288.29
720264919256,Ambrosian Pocket Mouse,2023-08-10,28,38,273.7
22309982900,Merciless Capital Expenditure,2023-08-12,41,30,207.96
109642228809,Right Peroneus,2023-08-13,32,48,401.97
216941189265,Searching Speck,2023-08-10,17,50,367.88
263743162675,Designative Cat'S-Tail,2023-08-01,31,55,187.91
756606177205,Immanent Casuistry,2023-08-01,31,65,278.54
626018329926,Bodily Kallman'S Syndrome,2023-08-23,42,85,495.05
226192445106,Meek Back,2023-08-20,41,32,238.31
685621359005,Waterborne Lanthanotidae,2023-08-30,9,7,200.16
755367155115,Limber Stp,2023-08-01,4,28,167.69
493143713150,Collected Pillbox,2023-08-29,7,20,162.62
11620752373,Palpable Carbuncle,2023-08-05,6,45,405.26
421681537569,Out-Of-School Matchstick,2023-08-29,4,26,135.57
419842217924,Inactive Smooth Plane,2023-08-02,19,50,125.3
559386758938,Anglo-Catholic Desertification,2023-08-12,1,74,152.66
962789364301,Clean Perihelion,2023-08-15,36,48,94.25
515415137152,Blue-Fruited Deprecation,2023-08-24,15,92,147.5
382777929261,Asymptotic Radiculitis,2023-08-09,33,19,300.66
343311459635,Grave Finish Coat,2023-08-04,17,47,313.09
88301365344,Crossed Stander,2023-08-06,16,42,262.98
358848617969,Bullnecked Agglutination,2023-08-28,30,69,145.68
241021723560,Unaccustomed Bustier,2023-08-18,36,58,287.73
907197106552,Nonextensile Girlfriend,2023-08-26,12,49,187.2
115393510190,Welcome Pipe Cleaner,2023-08-30,26,63,187.51
893686926478,Restrained Penance,2023-08-17,2,27,199.59
560364070660,Well-Ordered Tunicate,2023-08-14,6,41,301.22
61911887620,Nominal Drool,2023-08-06,42,2,150.6
482501537280,Can-Do Conversation Stopper,2023-08-29,35,61,423.59
493187794455,Golden-Yellow Sac,2023-08-17,29,72,175.51
925161789667,Unpermissive Straitjacket,2023-08-18,31,12,295.6
543108677121,Tail-Shaped Posthypnotic Suggestion,2023-08-27,31,8,349.96
648847148485,Closing Leicestershire,2023-08-08,40,85,165.2
862018699685,Blown Pound Net,2023-08-13,23,64,181.82
897106470749,Terminal Vector Algebra,2023-08-02,42,23,316.66
617036116698,Braced Lab Bench,2023-08-20,15,67,119.11
668093737981,Snub Mate,2023-08-11,13,89,505.33
838097571529,Gigantic Myrciaria,2023-08-11,19,29,233.93
957921127672,Confusing Previous Question,2023-08-11,10,84,130.12
65402439674,Shaded Vestibule Of The Vagina,2023-08-15,9,77,235.45
171463214747,Rural Seth,2023-08-23,21,39,100.98
349799034158,Mocking Progressivism,2023-08-18,14,60,398.3
484488848319,Divine Botulinum Toxin A,2023-08-23,38,50,203.26
35518689550,Monarchal Lock,2023-08-21,15,35,274.78
551291457916,Lascivious Country Borage,2023-08-11,40,93,295.19
827314935907,Full Of Life Trouser,2023-08-26,9,54,94.67
205764022181,Unintrusive Keratotomy,2023-08-07,9,87,325.91
744052619764,Quartzose Dauphin,2023-08-27,17,10,144.98
16475425378,Bally Three-Year-Old Horse,2023-08-08,9,24,209.76
456165201512,Perceptible Nautical Mile,2023-08-11,24,88,233.98
412372621368,Bearable Kirchhoff'S Laws,2023-08-03,32,49,270.3
538751804751,Politic Nakedness,2023-08-30,31,12,332.57
530556827813,Crepuscular Serenoa,2023-08-14,29,34,201.75
653310857695,Alloyed Waltz,2023-08-06,12,79,237.04
708119577060,Firm Chorionic Villus,2023-08-23,30,90,438.02
292786936883,Offending Bear Grass,2023-08-08,30,82,192.12
656097684013,Rousseauan Sergeant Major,2023-08-27,17,78,138.19
727877437134,Off-Limits Festination,2023-08-16,24,27,175.97
192967893171,Irresistible Whip,2023-08-01,29,85,317.61
353810937668,Unforfeitable Moroccan Monetary Unit,2023-08-02,22,52,94.34
826100997403,Cost-Plus Acridity,2023-08-30,4,86,226.21
514882689042,Equine Easter Cactus,2023-08-13,11,31,205.8
206434028114,Suitable Tetra,2023-08-05,7,14,90.1
446347827134,Weighted Nitro Group,2023-08-06,34,74,385.93
632570631079,Uncared-For Menispermum,2023-08-09,34,51,194.1
458880966981,Consuming Sesotho,2023-08-23,23,23,171.75
765615660021,Extreme Tunney,2023-08-12,12,57,381.47
104640485692,Elfin Pellet,2023-08-21,6,43,202.43
819026242912,Accurate Upupidae,2023-08-03,7,51,334.42
344925379873,Hymenopterous Chum,2023-08-05,19,90,91.42
494904368804,Stalinist Dietetics,2023-08-21,34,39,160.77
839049445534,Cholinergic Pride,2023-08-28,20,33,151.32
